Report ID,Ticket Open Time,Ticket Resp Time,Issue Res Time,Operator,Manager,Channel,State,Service Name,Fault Type,response_seconds,resolution_minutes,resolution_category
AXA-20201230-1403-WLESS,,2020-12-30 04:37:14,2020-12-30 10:23:02,Segun,Seun,Social Media,GOMBE,Wireless,Line damage,,345.8,Critical
AXA-20201229-1350-WLESS,,2020-12-29 14:40:55,2020-12-29 20:26:37,Jennifer,Kerry,Chatbot,KWARA,Wireless,Line damage,,345.7,Critical
AXA-20201225-5530-WiFi7,2020-12-25 11:55:18,2020-12-25 12:03:46,2020-12-25 17:49:27,Sekina,Victor,Chatbot,SOKOTO,WiFI - 7,Not Specified,508.0,345.68333333333334,Critical
AXA-20201216-5406-WiFi3,2020-12-16 08:30:31,2020-12-16 08:34:43,2020-12-16 14:20:24,Kingsley,Kerry,WebForm,BAYELSA,WiFI - 3,Customers End,252.0,345.68333333333334,Critical
AXA-20201223-5335-HSE,2020-12-23 12:56:37,2020-12-23 13:03:43,2020-12-23 18:49:18,Sheg,Seun,WebForm,GOMBE,High speed Internet,Customers End,426.0,345.5833333333333,Critical
AXA-20201201-3235-MCON,2020-12-01 11:23:24,2020-12-01 11:25:00,2020-12-01 17:10:32,Goodluck,Kerry,WebForm,OYO,M Connect,Line damage,96.0,345.53333333333336,Critical
AXA-20201202-4241-VOICE,2020-12-02 10:24:16,2020-12-02 10:24:50,2020-12-02 16:10:21,Vitus,Seun,Phone Call,RIVERS,Voice,Customers End,34.0,345.51666666666665,Critical
AXA-20201207-2635-WiFi7,2020-12-07 13:39:56,2020-12-07 13:40:39,2020-12-07 19:26:09,Myers,Kerry,Social Media,YOBE,WiFI - 7,Customers End,43.0,345.5,Critical
AXA-20201226-3188-WiFi6,2020-12-26 08:02:38,2020-12-26 08:07:12,2020-12-26 13:52:42,Sheg,Seun,Chatbot,OYO,WiFI - 6,Support network failures,274.0,345.5,Critical
AXA-20201231-1236-HSE,,2020-12-31 03:38:44,2020-12-31 09:24:08,Brenda,Kerry,Social Media,NIGER,High speed Internet,Line damage,,345.4,Critical
AXA-20201230-2072-WLESS,,2020-12-30 16:23:43,2020-12-30 22:09:07,Habeeb,Victor,Social Media,ONDO,Wireless,Line damage,,345.4,Critical
AXA-20201201-3321-ICS,2020-12-01 08:00:13,2020-12-01 08:07:40,2020-12-01 13:53:00,Brenda,Kerry,Email,SOKOTO,Interconnection Services,Not Specified,447.0,345.3333333333333,Critical
